Time,Gas1,Liquid1,Gas2
215.429,2.050681,-22.098345,12.648876
215.796,2.064401,-22.082594,12.666933
216.163,2.074776,-22.068652,12.693328
216.53,2.110535,-22.085671,12.67479
216.897,2.122837,-22.07106,12.680713
217.264,2.139925,-22.03073,12.70808
217.631,2.160099,-22.015063,12.711218
217.998,2.15424,-22.00707,12.69945
218.365,2.181378,-21.972515,12.692272
218.732,2.202503,-21.957501,12.715032
219.099,2.244809,-21.957863,12.712245
219.466,2.251019,-21.938345,12.717631
219.833,2.266959,-21.905097,12.727885
220.2,2.304455,-21.898166,12.741457
220.567,2.287741,-21.883788,12.76124
220.934,2.338153,-21.876065,12.736272
221.301,2.35337,-21.863526,12.757271
221.668,2.340908,-21.88176,12.753921
222.035,2.400161,-21.847247,12.764515
222.402,2.383711,-21.838358,12.777382
222.769,2.406297,-21.814349,12.773201
223.136,2.416261,-21.827408,12.772877
223.503,2.449861,-21.832917,12.787834
223.87,2.436872,-21.803596,12.809778
224.237,2.46147,-21.808747,12.793952
224.604,2.490615,-21.815456,12.792822
224.971,2.500684,-21.792508,12.808283
225.338,2.501414,-21.812988,12.798477
225.705,2.544678,-21.791658,12.795582
226.072,2.558066,-21.797167,12.806489
226.439,2.565748,-21.767576,12.807684
226.806,2.596065,-21.766459,12.813986
227.173,2.608625,-21.778292,12.83556
227.54,2.603257,-21.760794,12.85582
227.907,2.63558,-21.752947,12.841612
228.274,2.644011,-21.736532,12.841131
228.641,2.645299,-21.756199,12.856282
229.008,2.671315,-21.745259,12.850534
229.375,2.691024,-21.772333,12.873153
229.742,2.692545,-21.779736,12.882116
230.109,2.726059,-21.80811,12.865946
230.476,2.746823,-21.833893,12.900564
230.843,2.773489,-21.83601,12.876278
231.21,2.755241,-21.836559,12.879138
231.577,2.768151,-21.858614,12.881008
231.944,2.791118,-21.884365,12.902445
232.311,2.826362,-21.885965,12.906603
232.678,2.838272,-21.878548,12.901116
233.045,2.841297,-21.866859,12.901769
233.412,2.874418,-21.876588,12.899647
233.779,2.872289,-21.917054,12.918863
234.146,2.88715,-21.925853,12.902926
234.513,2.895789,-21.923323,12.939262
234.88,2.919246,-21.92908,12.919091
235.247,2.912933,-21.971159,12.931865
235.614,2.938758,-21.958898,12.960055
235.981,2.953429,-21.969747,12.960964
236.348,2.969112,-21.971749,12.941041
236.715,2.992625,-21.980315,12.958224
237.082,2.987133,-21.991734,12.958865
237.449,2.999706,-21.98851,12.958475
237.816,3.03271,-21.979883,12.974262
238.183,3.026041,-21.983957,12.980892
238.55,3.049247,-21.994461,12.966382
238.917,3.066574,-22.001314,12.982785
239.284,3.06547,-21.955698,12.987152
239.651,3.087632,-21.943282,12.970121
240.018,3.104408,-21.94994,12.997356
240.385,3.122692,-21.936011,12.990934
240.752,3.120385,-21.925602,13.004851
241.119,3.13543,-21.899539,12.985974
241.486,3.149825,-21.924027,13.008616
241.853,3.170773,-21.90224,13.001435
242.22,3.159728,-21.893682,12.998588
242.587,3.192346,-21.892284,13.02664
242.954,3.203428,-21.881617,13.01547
243.321,3.20363,-21.869488,13.022682
243.688,3.250722,-21.876858,13.0085
244.055,3.252772,-21.871481,13.036351
244.422,3.249139,-21.8639,13.034505
244.789,3.296594,-21.851784,
245.156,3.269768,-21.866738,
245.523,3.289617,-21.854605,
245.89,3.299662,-21.859968,
246.257,3.30581,-21.844301,
246.624,3.311755,-21.83386,
246.991,3.329298,-21.859903,
247.358,3.330764,-21.843303,
247.725,3.376506,-21.852618,
248.092,3.363499,-21.848895,
248.459,3.370137,-21.868707,
248.826,3.390306,-21.856467,
249.193,3.415407,-21.892589,
249.56,3.389379,-21.921677,
249.927,3.420506,-21.92767,
250.294,3.442926,-21.962145,
250.661,3.456609,-21.963768,
251.028,3.456903,-22.005383,
251.395,3.469187,-22.03902,
251.762,3.451044,-22.083511,
252.129,3.47447,-22.088268,
252.496,3.471445,-22.105594,
252.863,3.484054,-22.122597,
253.23,3.51115,-22.148224,
253.597,3.51793,-22.183424,
253.964,3.531379,-22.210614,
254.331,3.53206,-22.230668,
254.698,3.546381,-22.283752,
255.065,3.564653,-22.284577,
255.432,3.572421,-22.308598,
255.799,3.601167,-22.301788,
